"source_mod","role_name","team_hint","role_kind","source_path","source_ref"
"BoundlessHostRoles","Abyssbringer","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Addict","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Adrenaline","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Adventurer","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Agent","Gamemode","gamemode_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Agitater","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Aid","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Alchemist","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Altruist","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Amnesiac","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Analyst","Crewmate","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Anti Adminer","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Anti TP","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Antidote","Any","sub_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Arsonist","Neutral","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
"BoundlessHostRoles","Assassin","Impostor","custom_role","CustomRoles.cs","https://github.com/Ultradragon005/BoundlessHostRoles"
