"role_name","sources","source_count","team_hints","kinds","icon_file","enabled"
"Abyssbringer","BoundlessHostRoles","1","Impostor","custom_role","Abyssbringer.png","false"
"Addict","BoundlessHostRoles","1","Crewmate","custom_role","Addict.png","false"
"Adrenaline","BoundlessHostRoles","1","Crewmate","custom_role","Adrenaline.png","false"
"Adventurer","BoundlessHostRoles","1","Crewmate","custom_role","Adventurer.png","false"
"Agent","BoundlessHostRoles","1","Gamemode","gamemode_role","Agent.png","false"
"Agitater","BoundlessHostRoles","1","Neutral","custom_role","Agitater.png","false"
"Aid","BoundlessHostRoles","1","Crewmate","custom_role","Aid.png","false"
"Alchemist","BoundlessHostRoles","1","Crewmate","custom_role","Alchemist.png","false"
"Altruist","BoundlessHostRoles; TOU-Mira; TOU-R","3","Crewmate; Mixed/Non-Impostor","custom_role","Altruist.png","false"
"Ambassador","TOU-Mira","1","Impostor","custom_role","Ambassador.png","false"
"Ambusher","TOU-Mira","1","Impostor","custom_role","Ambusher.png","false"
"Amnesiac","BoundlessHostRoles; TOU-Mira; TOU-R","3","Mixed/Non-Impostor; Neutral","custom_role","Amnesiac.png","false"
"Analyst","BoundlessHostRoles","1","Crewmate","custom_role","Analyst.png","false"
"Anti Adminer","BoundlessHostRoles","1","Impostor","custom_role","AntiAdminer.png","false"
"Anti TP","BoundlessHostRoles","1","Any","sub_role","AntiTP.png","false"
"Antidote","BoundlessHostRoles","1","Any","sub_role","Antidote.png","false"
"Arsonist","BoundlessHostRoles; TheOtherRoles; TOU-Mira; TOU-R","4","Mixed/Non-Impostor; Neutral","custom_role","Arsonist.png","false"
"Assassin","BoundlessHostRoles","1","Impostor","custom_role","Assassin.png","false"
"Asthmatic","BoundlessHostRoles","1","Any","sub_role","Asthmatic.png","false"
"Augmenter","BoundlessHostRoles","1","Impostor","custom_role","Augmenter.png","false"
"Aurial","TOU-Mira; TOU-R","2","Crewmate; Mixed/Non-Impostor","custom_role","Aurial.png","false"
"Autocrat","BoundlessHostRoles","1","Crewmate","custom_role","Autocrat.png","false"
"Autopsy","BoundlessHostRoles","1","Any","sub_role","Autopsy.png","false"
"Avanger","BoundlessHostRoles","1","Any","sub_role","Avanger.png","false"
"Bait","BoundlessHostRoles","1","Any","sub_role","Bait.png","false"
"Ball Lightning","BoundlessHostRoles","1","Impostor","custom_role","BallLightning.png","false"
"Bandit","BoundlessHostRoles","1","Neutral","custom_role","Bandit.png","false"
"Bard","BoundlessHostRoles","1","Impostor","custom_role","Bard.png","false"
"Bargainer","BoundlessHostRoles","1","Neutral","custom_role","Bargainer.png","false"
"Beacon","BoundlessHostRoles","1","Crewmate","custom_role","Beacon.png","false"
"Beehive","BoundlessHostRoles","1","Neutral","custom_role","Beehive.png","false"
"Benefactor","BoundlessHostRoles","1","Crewmate","custom_role","Benefactor.png","false"
"Bewilder","BoundlessHostRoles","1","Any","sub_role","Bewilder.png","false"
"Blackmailer","BoundlessHostRoles; TOU-Mira; TOU-R","3","Impostor","custom_role","Blackmailer.png","false"
"Blood Knight","BoundlessHostRoles","1","Neutral","custom_role","BloodKnight.png","false"
"Bloodhound","BoundlessHostRoles","1","Crewmate","custom_role","Bloodhound.png","false"
"Bloodlust","BoundlessHostRoles","1","Any","sub_role","Bloodlust.png","false"
"Bloodmoon","BoundlessHostRoles","1","Any","sub_role","Bloodmoon.png","false"
"Bodyguard","BoundlessHostRoles","1","Crewmate","custom_role","Bodyguard.png","false"
"Bomber","BoundlessHostRoles; TheOtherRoles; TOU-Mira; TOU-R","4","Crewmate/Other; Impostor","custom_role","Bomber.png","false"
"Booby Trap","BoundlessHostRoles","1","Impostor","custom_role","BoobyTrap.png","false"
"Bounty Hunter","BoundlessHostRoles; TheOtherRoles","2","Crewmate/Other; Impostor","custom_role","BountyHunter.png","false"
"Brakar","BoundlessHostRoles","1","Any","sub_role","Brakar.png","false"
"Bubble","BoundlessHostRoles","1","Neutral","custom_role","Bubble.png","false"
"Busy","BoundlessHostRoles","1","Any","sub_role","Busy.png","false"
"Camera Man","BoundlessHostRoles","1","Crewmate","custom_role","CameraMan.png","false"
"Camouflager","BoundlessHostRoles; TheOtherRoles","2","Crewmate/Other; Impostor","custom_role","Camouflager.png","false"
"Cantankerous","BoundlessHostRoles","1","Impostor","custom_role","Cantankerous.png","false"
"Capitalism","BoundlessHostRoles","1","Impostor","custom_role","Capitalism.png","false"
"Chameleon","BoundlessHostRoles","1","Crewmate","custom_role","Chameleon.png","false"
"Changeling","BoundlessHostRoles","1","Impostor","custom_role","Changeling.png","false"
"Charmed","BoundlessHostRoles","1","Any","sub_role","Charmed.png","false"
"Chef","BoundlessHostRoles; TOU-Mira","2","Crewmate; Neutral","custom_role","Chef.png","false"
"Chemist","BoundlessHostRoles","1","Neutral","custom_role","Chemist.png","false"
"Cherokious","BoundlessHostRoles","1","Neutral","custom_role","Cherokious.png","false"
"Chronomancer","BoundlessHostRoles","1","Impostor","custom_role","Chronomancer.png","false"
"Circumvent","BoundlessHostRoles","1","Any","sub_role","Circumvent.png","false"
"Clairvoyant","BoundlessHostRoles","1","Crewmate","custom_role","Clairvoyant.png","false"
"Cleaner","BoundlessHostRoles; TheOtherRoles","2","Crewmate/Other; Impostor","custom_role","Cleaner.png","false"
"Cleansed","BoundlessHostRoles","1","Any","sub_role","Cleansed.png","false"
"Cleanser","BoundlessHostRoles","1","Crewmate","custom_role","Cleanser.png","false"
"Cleric","TOU-Mira; TOU-R","2","Crewmate; Mixed/Non-Impostor","custom_role","Cleric.png","false"
"Clumsy","BoundlessHostRoles","1","Any","sub_role","Clumsy.png","false"
"Collector","BoundlessHostRoles","1","Neutral","custom_role","Collector.png","false"
"Commander","BoundlessHostRoles","1","Impostor","custom_role","Commander.png","false"
"Consort","BoundlessHostRoles","1","Impostor","custom_role","Consort.png","false"
"Contagious","BoundlessHostRoles","1","Any","sub_role","Contagious.png","false"
"Convener","BoundlessHostRoles","1","Crewmate","custom_role","Convener.png","false"
"Convict","BoundlessHostRoles","1","Unknown","custom_role","Convict.png","false"
"Copy Cat","BoundlessHostRoles","1","Crewmate","custom_role","CopyCat.png","false"
